t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5106828537701655,0.05160898909833919,0.52,0.7994351786848836,0.849222428632137,0.7276535719344751,0.6688,0.3722409712262099,0.6145964953356792,0.4390024280655248,0.31097057592889027,0.2062194115185778,0.52,0.33038904676804903,0.3734335656460531,0.43741853079914517
1,0.6538602640298293,-0.002107769973008447,0.52,0.8498088932231912,0.9388810580527731,0.6805340487509836,0.638536,0.45126656278734445,0.6584403431532396,0.592531346266723,0.39272101565240874,0.21401163771644022,0.52,0.34671058050313647,0.4014711926841158,0.4612505137814984
2,0.696504264674543,-0.18808750436500138,0.52,0.8982479189223262,1.0,0.6242019887185373,0.60917992,0.5308751545981334,0.6738714502075214,0.7447804186545683,0.48270403478272916,0.22352560203493038,0.52,0.34155995465801714,0.4050239474647794,0.42083622974869195
3,0.8084040093027147,-0.19745061192636226,0.52,0.9399052321529195,1.0,0.5485129001803519,0.5807045224,0.615207516291343,0.6785629449642081,0.9074186004205546,0.5873597265628335,0.23503754054583775,0.52,0.299382300599396,0.36384608515006595,0.334002088993121
4,0.8099105231790034,-0.243586673393575,0.52,0.9746901444392783,1.0,0.47041863460815614,0.5530833867280001,0.6975219597747996,0.6771792511371225,1.0,0.6908223510649554,0.2485036121616785,0.52,0.25359559487233285,0.3155065685862949,0.2486761913433907
5,0.8389158604845177,-0.25537026079661673,0.52,1.0,1.0,0.3859298822314953,0.5262908851261601,0.7795188624095006,0.6720575296532991,1.0,0.7907182690234238,0.2638329414205302,0.52,0.2031113793162484,0.2585265822877077,0.1838438224626514
6,0.8039942462500024,-0.337754013525822,0.52,1.0,0.9912535394164946,0.30482805608920754,0.5003021585723753,0.8573705456242632,0.6596364370764393,1.0,0.8806042429292084,0.2808066968649091,0.52,0.15117224556109948,0.1965359662920872,0.11558146222342147
7,0.849109118622132,-0.2903226229578001,0.52,1.0,0.9698602364759483,0.2151504387123741,0.47509309381520404,0.9359828291009845,0.6500319222338862,1.0,0.9691312275975719,0.29938125444821145,0.52,0.09913570680013538,0.13161196856063614,0.0446736074563438
8,0.7286791873606726,-0.17213749863620878,0.52,1.0,0.9380473338265903,0.14194814014767734,0.4506403010007479,1.0,0.6652191230261507,1.0,1.0,0.31838744190372936,0.52,0.06000459217032394,0.08100619942993732,0.0
9,0.691380356304317,-0.1996227130008581,0.52,1.0,0.8964913986532057,0.07259239563630168,0.4269210919707255,1.0,0.679347090475652,1.0,1.0,0.3372035674846921,0.52,0.02778336647931818,0.03750754474707955,0.0
10,0.5974692696607435,-0.03863888189318315,0.52,0.9973070907855283,0.8468794325333004,0.015602734358038065,0.4039134592116037,1.0,0.7205458050471185,1.0,1.0,0.3558315318098452,0.52,0.005322792447873743,0.007185769804629554,0.0
11,0.46917111650223753,0.04900443880525346,0.52,0.9935974844237453,0.7943539254801214,0.0,0.3815960554352556,1.0,0.7813158383757115,1.0,1.0,0.3742732164917468,0.52,0.0,0.0,0.0
12,0.37954650157471065,0.08895325670107865,0.52,0.9899435221573891,0.7408844704996954,0.0,0.3599481737721979,1.0,0.8518186418023409,1.0,1.0,0.3925304843268293,0.52,0.0,0.0,0.0
13,0.30199095266400033,0.14607111747677434,0.52,0.9863443693250283,0.6865371817269226,0.0,0.33894972855903194,1.0,0.932845509601724,1.0,1.0,0.410605179483561,0.52,0.0,0.0,0.0
14,0.3363272216337094,0.23596520529383613,0.52,0.982799203785153,0.6313756229371996,0.0,0.31858123670226096,1.0,1.0,1.0,1.0,0.42849912768872545,0.52,0.0,0.0,0.0
15,0.3057842281464934,0.27884829375638037,0.52,0.9793072157283756,0.5754608925612371,0.0,0.29882379960119315,1.0,1.0,1.0,1.0,0.4462141364118382,0.52,0.0,0.0,0.0
16,0.2619037386466031,0.355846898221206,0.52,0.97586760749245,0.5188517060218711,0.0,0.27965908561315733,1.0,1.0,1.0,1.0,0.46375199504771986,0.52,0.0,0.0,0.0
