t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5571402594689914,0.010554518701578065,0.52,0.8023501522415447,0.8749159041295581,0.7479312010796513,0.850352,0.36629241556813946,0.6112080940801781,0.4328670389203487,0.31508607002273703,0.20630172140045475,0.41080000000000005,0.4464683104682912,0.5037065950389109,0.5754506057830742
1,0.6464651921118488,-0.11224589358700086,0.52,0.8615645533216559,1.0,0.7499956670466792,0.9961934400000001,0.43628701670564696,0.647471818249648,0.5724894657911086,0.3942816228143999,0.21412433664273822,0.41080000000000005,0.643709998208022,0.7420048083676434,0.7780040871124968
2,0.7507248671542426,-0.10291550049994044,0.52,0.9188388451792585,1.0,0.7368470019678426,1.0,0.5107873333172605,0.6751105185848301,0.7207697225746896,0.4882980256491565,0.22374905378929397,0.41080000000000005,0.6770436483619313,0.7980825102520942,0.7894392169418731
3,0.8003453262783626,-0.27218368118455066,0.52,0.9736224623412953,1.0,0.7164524979965705,1.0,0.5864023695610306,0.676515511591099,0.8690790353877096,0.5896577973443008,0.23530471919828705,0.41080000000000005,0.697554245249993,0.8407208570591763,0.781189017883987
4,0.8316786617541603,-0.2970557208618044,0.52,1.0,1.0,0.6916639112634979,1.0,0.6620070300272545,0.6722486330793966,1.0,0.6949157055058774,0.24884998611642173,0.41080000000000005,0.6916639112634979,0.8519241413489018,0.7390341141411156
5,0.8242481636498563,-0.22907521260824684,0.52,1.0,1.0,0.6683617280470671,1.0,0.7352757440955645,0.6772444330882015,1.0,0.7933473308658296,0.2642284328725741,0.41080000000000005,0.6683617280470671,0.8403622864672486,0.7145527946780483
6,0.891809988517404,-0.36456047360509447,0.52,1.0,1.0,0.6352748038487505,1.0,0.8107664498042196,0.6596997974826442,1.0,0.8917721707638218,0.28142159195912475,0.41080000000000005,0.6352748038487505,0.8155456279270337,0.6783604937771346
7,0.8449789137232913,-0.2535489332550163,0.52,1.0,1.0,0.6097088447325255,1.0,0.8815600233825116,0.660479875828598,1.0,0.9796903473888852,0.3002011829873112,0.41080000000000005,0.6097088447325255,0.7978320749291508,0.6491452590132758
8,0.7407995527572571,-0.2502369585740348,0.52,1.0,1.0,0.600153279147949,1.0,0.9443329959633843,0.6699770967531192,1.0,1.0,0.3191991711574381,0.41080000000000005,0.600153279147949,0.7985138695952102,0.6371701899632518
9,0.6957104487836446,-0.15355357374346423,0.52,1.0,1.0,0.5975044126431831,1.0,1.0,0.69478698026237,1.0,1.0,0.3380071794458638,0.41080000000000005,0.5975044126431831,0.8066309570682972,0.6329363135080526
10,0.6109221509654197,-0.038961791821381236,0.52,1.0,1.0,0.6076135238087224,1.0,1.0,0.7397115049969689,1.0,1.0,0.35662710765140515,0.41080000000000005,0.6076135238087224,0.8202782571417753,0.644536518570509
11,0.46597410622824686,0.0664253671234325,0.52,1.0,1.0,0.6393132050173544,1.0,1.0,0.8076082871892595,1.0,1.0,0.37506083657489114,0.41080000000000005,0.6393132050173544,0.8630728267734286,0.6809119027574142
12,0.46548519191266347,0.1838015468746319,0.52,1.0,1.0,0.6706107281551946,1.0,1.0,0.887500333708005,1.0,1.0,0.39331022820914224,0.41080000000000005,0.6706107281551946,0.9053244830095128,0.7168258105580858
13,0.35500283429947876,0.12204695771248354,0.52,1.0,1.0,0.7180111420879448,1.0,1.0,0.9653159633297871,1.0,1.0,0.41137712592705084,0.41080000000000005,0.7180111420879448,0.9693150418187255,0.7712177855459166
14,0.23893278269176432,0.19550971450911803,0.52,1.0,1.0,0.7821110575528609,1.0,1.0,1.0,1.0,1.0,0.4292633546677803,0.41080000000000005,0.7821110575528609,1.0,0.7973000000000001
15,0.3008411918400543,0.2584801702994706,0.52,1.0,1.0,0.8359632129135599,1.0,1.0,1.0,1.0,1.0,0.44697072112110253,0.41080000000000005,0.8359632129135599,1.0,0.7973000000000001
16,0.23776517751529047,0.35968702759590276,0.52,1.0,1.0,0.8984689880925629,1.0,1.0,1.0,1.0,1.0,0.4645010139098915,0.41080000000000005,0.8984689880925629,1.0,0.7973000000000001
17,0.25369197579732533,0.29241710518941966,0.52,1.0,1.0,0.9576481569015757,1.0,1.0,1.0,1.0,1.0,0.48185600377079263,0.41080000000000005,0.9576481569015757,1.0,0.7973000000000001
18,0.3117737494956159,0.1794666564566348,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49903744373308473,0.41080000000000005,1.0,1.0,0.7973000000000001
19,0.39324895979090174,0.23411557900896168,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5160470692957538,0.41080000000000005,1.0,1.0,0.7973000000000001
20,0.4318172423790629,0.06263544065341396,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5328865986027963,0.41080000000000005,1.0,1.0,0.7973000000000001
21,0.546331190916789,-0.053274643472410725,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5495577326167683,0.41080000000000005,1.0,1.0,0.7973000000000001
22,0.6431227589156682,-0.02536581645629256,0.52,1.0,1.0,0.9992415861626497,1.0,1.0,1.0,1.0,1.0,0.5660621552906007,0.41080000000000005,0.9992415861626497,1.0,0.7973000000000001
